data,vendite,promo,meteo
2025-03-17,760.1,0,19.6
2025-03-18,1017.3,1,20.8
2025-03-19,915.8,0,21.0
2025-03-20,1037.9,0,25.7
2025-03-21,947.0,0,19.8
2025-03-22,929.9,0,22.3
2025-03-23,793.7,0,17.9
2025-03-24,1026.3,1,22.1
2025-03-25,804.3,0,22.0
2025-03-26,920.9,0,21.4
2025-03-27,1236.9,1,24.8
2025-03-28,1038.8,0,20.3
2025-03-29,1251.3,1,26.2
2025-03-30,822.8,0,17.3
2025-03-31,781.9,0,20.7
2025-04-01,803.1,0,25.8
2025-04-02,886.9,0,23.0
2025-04-03,1065.3,0,23.9
2025-04-04,1068.7,0,22.8
2025-04-05,955.7,0,22.5
2025-04-06,1088.4,1,21.7
2025-04-07,769.8,0,24.1
2025-04-08,999.5,1,20.4
2025-04-09,927.8,0,23.2
2025-04-10,983.4,0,21.6
2025-04-11,1074.3,0,22.2
2025-04-12,983.4,0,19.8
2025-04-13,841.6,0,20.6
2025-04-14,792.6,0,24.5
2025-04-15,806.5,0,21.2
2025-04-16,913.9,0,19.4
2025-04-17,1035.8,0,24.3
2025-04-18,1086.3,0,21.6
2025-04-19,1273.0,1,20.9
2025-04-20,898.9,0,21.1
2025-04-21,774.6,0,26.2
2025-04-22,1076.1,1,18.2
2025-04-23,915.4,0,23.5
2025-04-24,980.9,0,18.6
2025-04-25,980.0,0,19.3
2025-04-26,945.8,0,17.3
2025-04-27,828.4,0,16.2
2025-04-28,786.7,0,21.3
2025-04-29,860.0,0,21.2
2025-04-30,873.7,0,21.7
2025-05-01,1007.7,0,19.4
2025-05-02,1035.0,0,20.2
2025-05-03,932.1,0,20.1
2025-05-04,887.9,0,21.0
2025-05-05,1052.8,1,18.3
2025-05-06,880.3,0,20.1
2025-05-07,1173.8,1,22.4
2025-05-08,997.1,0,20.5
2025-05-09,1306.4,1,19.8
2025-05-10,939.2,0,18.2
2025-05-11,859.7,0,19.1
2025-05-12,831.1,0,20.5
2025-05-13,768.9,0,18.3
2025-05-14,946.4,0,21.4
2025-05-15,1101.9,0,20.5
2025-05-16,1283.7,1,15.9
2025-05-17,1009.9,0,20.5
2025-05-18,886.0,0,20.5
2025-05-19,837.9,0,20.2
2025-05-20,831.5,0,18.1
2025-05-21,1203.4,1,22.1
2025-05-22,1041.6,0,18.7
2025-05-23,1074.9,0,18.5
2025-05-24,989.6,0,17.1
2025-05-25,863.9,0,17.7
2025-05-26,796.2,0,17.6
2025-05-27,765.6,0,16.5
2025-05-28,912.1,0,19.4
2025-05-29,999.9,0,18.7
2025-05-30,1070.7,0,17.9
2025-05-31,963.8,0,16.2
2025-06-01,907.8,0,17.7
2025-06-02,801.6,0,11.0
2025-06-03,819.4,0,17.7
2025-06-04,960.5,0,19.5
2025-06-05,1022.6,0,16.5
2025-06-06,1069.5,0,16.3
2025-06-07,949.9,0,15.9
2025-06-08,945.0,0,18.8
2025-06-09,760.1,0,16.3
2025-06-10,842.6,0,17.5
2025-06-11,975.0,0,19.2
2025-06-12,982.2,0,15.8
2025-06-13,1305.7,1,14.1
2025-06-14,1276.2,1,16.7
2025-06-15,1154.3,1,14.2
2025-06-16,852.6,0,16.9
2025-06-17,781.1,0,14.2
2025-06-18,1207.2,1,14.9
2025-06-19,1021.8,0,12.7
2025-06-20,1064.0,0,14.4
2025-06-21,981.9,0,14.1
2025-06-22,1089.2,1,12.0
2025-06-23,809.4,0,15.3
2025-06-24,823.4,0,14.7
2025-06-25,840.1,0,10.8
2025-06-26,1057.3,0,13.4
2025-06-27,1298.9,1,11.2
2025-06-28,1240.8,1,11.4
2025-06-29,882.9,0,12.4
2025-06-30,797.0,0,11.2
2025-07-01,838.0,0,12.3
2025-07-02,920.2,0,11.1
2025-07-03,971.1,0,11.2
2025-07-04,1050.7,0,13.7
2025-07-05,992.2,0,13.4
2025-07-06,1110.0,1,8.7
2025-07-07,816.0,0,10.5
2025-07-08,1120.0,1,8.6
2025-07-09,959.8,0,10.7
2025-07-10,1001.8,0,8.0
2025-07-11,1052.5,0,8.8
2025-07-12,928.1,0,10.7
2025-07-13,869.2,0,8.4
2025-07-14,756.0,0,12.0
2025-07-15,819.5,0,10.3
2025-07-16,1163.7,1,8.0
2025-07-17,1013.2,0,10.7
2025-07-18,1079.1,0,9.8
2025-07-19,981.7,0,11.7
2025-07-20,898.1,0,9.2
2025-07-21,768.5,0,6.2
2025-07-22,766.6,0,11.3
2025-07-23,951.0,0,6.2
2025-07-24,958.0,0,7.7
2025-07-25,1039.8,0,11.9
2025-07-26,931.2,0,6.4
2025-07-27,872.3,0,6.8
2025-07-28,782.5,0,6.3
2025-07-29,832.1,0,7.0
2025-07-30,923.1,0,7.9
2025-07-31,1309.5,1,9.8
2025-08-01,1285.4,1,3.9
2025-08-02,1028.4,0,9.1
2025-08-03,876.5,0,8.3
2025-08-04,770.1,0,7.3
2025-08-05,865.6,0,6.5
2025-08-06,945.6,0,4.7
2025-08-07,979.0,0,7.5
2025-08-08,984.2,0,5.4
2025-08-09,951.1,0,6.3
2025-08-10,836.3,0,5.1
2025-08-11,814.4,0,8.4
2025-08-12,821.2,0,6.6
2025-08-13,917.8,0,3.0
2025-08-14,1002.1,0,10.8
2025-08-15,1273.1,1,5.0
2025-08-16,1266.9,1,4.3
2025-08-17,885.9,0,6.2
2025-08-18,1032.7,1,2.6
2025-08-19,860.8,0,3.4
2025-08-20,939.2,0,4.2
2025-08-21,925.4,0,5.0
2025-08-22,989.0,0,3.5
2025-08-23,984.1,0,5.0
2025-08-24,1119.7,1,5.5
2025-08-25,821.8,0,5.3
2025-08-26,1066.5,1,2.9
2025-08-27,933.3,0,3.6
2025-08-28,1018.6,0,2.7
2025-08-29,1338.9,1,7.5
2025-08-30,982.1,0,4.7
2025-08-31,870.0,0,4.8
2025-09-01,788.3,0,1.3
2025-09-02,823.9,0,2.7
2025-09-03,871.3,0,1.7
2025-09-04,1008.9,0,6.8
2025-09-05,1031.4,0,-0.5
2025-09-06,975.9,0,3.2
2025-09-07,876.2,0,3.5
2025-09-08,774.6,0,2.9
2025-09-09,832.9,0,4.1
2025-09-10,934.7,0,5.1
2025-09-11,970.0,0,3.5
2025-09-12,989.8,0,3.8
2025-09-13,975.2,0,3.4
2025-09-14,879.2,0,-0.1
2025-09-15,801.9,0,2.8
2025-09-16,857.6,0,2.6
2025-09-17,863.3,0,0.3
2025-09-18,987.0,0,1.1
2025-09-19,1033.2,0,3.7
2025-09-20,1267.2,1,0.5
2025-09-21,833.3,0,2.1
2025-09-22,822.5,0,2.6
2025-09-23,1109.3,1,0.9
2025-09-24,1172.9,1,0.1
2025-09-25,974.1,0,-2.7
2025-09-26,1033.2,0,3.3
2025-09-27,1062.8,0,6.6
2025-09-28,879.4,0,3.4
2025-09-29,791.9,0,1.7
2025-09-30,757.8,0,-0.1
2025-10-01,961.0,0,2.8
2025-10-02,1069.4,0,3.7
2025-10-03,1027.3,0,1.1
2025-10-04,964.5,0,5.0
2025-10-05,864.8,0,-0.6
2025-10-06,1047.9,1,3.6
2025-10-07,808.4,0,1.0
2025-10-08,978.7,0,2.4
2025-10-09,1027.5,0,1.6
2025-10-10,1053.4,0,-0.4
2025-10-11,990.5,0,3.2
2025-10-12,905.3,0,5.4
2025-10-13,731.0,0,1.7
2025-10-14,840.8,0,2.9
2025-10-15,935.6,0,0.8
2025-10-16,964.2,0,-0.5
2025-10-17,1031.9,0,3.0
2025-10-18,1044.7,0,6.1
2025-10-19,949.6,0,2.4
2025-10-20,794.6,0,-1.4
2025-10-21,894.9,0,2.0
2025-10-22,1173.1,1,-0.7
2025-10-23,1100.4,0,2.8
2025-10-24,1034.8,0,3.1
2025-10-25,991.8,0,3.1
2025-10-26,911.0,0,3.3
2025-10-27,811.9,0,5.4
2025-10-28,1156.0,1,3.8
2025-10-29,896.8,0,-0.1
2025-10-30,1320.9,1,4.5
2025-10-31,1058.5,0,5.5
2025-11-01,981.3,0,2.3
2025-11-02,1189.0,1,2.5
2025-11-03,885.9,0,3.0
2025-11-04,890.0,0,4.0
2025-11-05,965.9,0,2.7
2025-11-06,1323.9,1,6.3
2025-11-07,1192.8,0,6.0
2025-11-08,995.4,0,3.8
2025-11-09,925.3,0,3.1
2025-11-10,864.1,0,0.9
2025-11-11,878.9,0,2.0
2025-11-12,1006.1,0,2.6
2025-11-13,1053.5,0,3.1
2025-11-14,1150.8,0,3.8
2025-11-15,1027.8,0,0.3
2025-11-16,891.3,0,4.8
2025-11-17,892.7,0,6.9
2025-11-18,893.0,0,0.5
2025-11-19,940.7,0,4.2
2025-11-20,1087.6,0,4.5
2025-11-21,1140.5,0,5.5
2025-11-22,1003.0,0,7.3
2025-11-23,934.2,0,4.9
2025-11-24,904.6,0,7.5
2025-11-25,858.2,0,5.6
2025-11-26,979.9,0,10.1
2025-11-27,1321.6,1,4.8
2025-11-28,1116.3,0,4.8
2025-11-29,983.1,0,2.4
2025-11-30,965.7,0,8.8
2025-12-01,843.1,0,5.1
2025-12-02,942.3,0,9.1
2025-12-03,989.7,0,6.4
2025-12-04,1138.1,0,7.8
2025-12-05,1407.1,1,4.9
2025-12-06,1375.5,1,9.1
2025-12-07,943.8,0,7.8
2025-12-08,849.9,0,7.6
2025-12-09,1187.6,1,7.8
2025-12-10,1026.4,0,12.3
2025-12-11,1400.9,1,7.0
2025-12-12,1194.8,0,11.3
2025-12-13,1075.0,0,7.8
2025-12-14,991.9,0,9.5
2025-12-15,960.6,0,8.2
2025-12-16,942.7,0,8.7
2025-12-17,1033.5,0,7.0
2025-12-18,1124.5,0,10.2
2025-12-19,1241.2,0,12.8
2025-12-20,1103.6,0,7.7
2025-12-21,996.7,0,12.1
2025-12-22,1247.0,1,12.4
2025-12-23,935.2,0,10.2
2025-12-24,1057.8,0,11.6
2025-12-25,1152.7,0,13.6
2025-12-26,1191.1,0,13.0
2025-12-27,1381.2,1,11.1
2025-12-28,1028.5,0,10.2
2025-12-29,915.8,0,15.1
2025-12-30,940.0,0,7.3
2025-12-31,1102.8,0,10.8
2026-01-01,1172.9,0,10.6
2026-01-02,1199.3,0,10.8
2026-01-03,1159.1,0,16.0
2026-01-04,1255.8,1,10.0
2026-01-05,968.5,0,12.8
2026-01-06,1005.9,0,12.0
2026-01-07,1040.1,0,13.0
2026-01-08,1448.1,1,8.9
2026-01-09,1387.7,1,9.1
2026-01-10,1106.6,0,12.0
2026-01-11,992.2,0,11.6
2026-01-12,953.3,0,11.5
2026-01-13,1001.5,0,14.9
2026-01-14,1138.2,0,13.8
2026-01-15,1167.8,0,15.7
2026-01-16,1194.7,0,14.2
2026-01-17,1127.1,0,15.6
2026-01-18,1004.0,0,16.4
2026-01-19,1016.4,0,18.2
2026-01-20,1226.9,1,13.4
2026-01-21,1093.7,0,15.1
2026-01-22,1156.7,0,15.6
2026-01-23,1448.5,1,15.5
2026-01-24,1177.4,0,20.3
2026-01-25,1285.8,1,16.4
2026-01-26,1005.3,0,14.6
2026-01-27,1042.4,0,17.6
2026-01-28,1124.5,0,17.4
2026-01-29,1167.9,0,15.4
2026-01-30,1518.3,1,18.1
2026-01-31,1119.2,0,12.7
2026-02-01,1073.7,0,15.0
2026-02-02,1063.9,0,20.1
2026-02-03,1047.8,0,19.5
2026-02-04,1050.4,0,15.4
2026-02-05,,0,16.9
2026-02-06,,0,16.0
2026-02-07,,1,17.9
2026-02-08,,0,16.9
2026-02-09,,0,17.5
2026-02-10,,0,19.3
2026-02-11,,0,16.5
2026-02-12,,0,18.4
2026-02-13,,0,17.1
2026-02-14,,0,20.9
2026-02-15,,0,17.5
2026-02-16,,0,21.8
2026-02-17,,0,18.9
2026-02-18,,0,16.8
2026-02-19,,1,20.4
2026-02-20,,0,17.8
2026-02-21,,0,17.8
2026-02-22,,0,18.1
2026-02-23,,0,17.7
2026-02-24,,0,20.6
2026-02-25,,0,21.5
2026-02-26,,0,21.2
2026-02-27,,1,19.5
2026-02-28,,0,17.9
2026-03-01,,0,23.3
2026-03-02,,0,24.6
2026-03-03,,0,23.5
2026-03-04,,0,22.8
