data,negozio,vendite
2025-06-02,milano,864.6
2025-06-03,milano,897.8
2025-06-04,milano,1096.1
2025-06-05,milano,1166.4
2025-06-06,milano,1165.1
2025-06-07,milano,1256.0
2025-06-08,milano,1231.1
2025-06-09,milano,855.4
2025-06-10,milano,828.4
2025-06-11,milano,1021.5
2025-06-12,milano,1097.3
2025-06-13,milano,1296.6
2025-06-14,milano,1365.6
2025-06-15,milano,1195.3
2025-06-16,milano,832.8
2025-06-17,milano,800.5
2025-06-18,milano,1001.6
2025-06-19,milano,1090.2
2025-06-20,milano,1193.2
2025-06-21,milano,1250.8
2025-06-22,milano,1137.8
2025-06-23,milano,867.3
2025-06-24,milano,913.5
2025-06-25,milano,956.8
2025-06-26,milano,1081.4
2025-06-27,milano,1193.2
2025-06-28,milano,1340.6
2025-06-29,milano,1125.8
2025-06-30,milano,792.9
2025-07-01,milano,825.4
2025-07-02,milano,946.0
2025-07-03,milano,1099.8
2025-07-04,milano,1196.0
2025-07-05,milano,1326.8
2025-07-06,milano,1216.2
2025-07-07,milano,801.2
2025-07-08,milano,832.3
2025-07-09,milano,942.2
2025-07-10,milano,1108.4
2025-07-11,milano,1102.5
2025-07-12,milano,1237.4
2025-07-13,milano,1162.2
2025-07-14,milano,839.8
2025-07-15,milano,853.0
2025-07-16,milano,1007.9
2025-07-17,milano,1111.3
2025-07-18,milano,1112.9
2025-07-19,milano,1290.5
2025-07-20,milano,1118.1
2025-07-21,milano,745.0
2025-07-22,milano,759.2
2025-07-23,milano,905.7
2025-07-24,milano,1094.0
2025-07-25,milano,1132.8
2025-07-26,milano,1264.6
2025-07-27,milano,1168.8
2025-07-28,milano,776.8
2025-07-29,milano,823.7
2025-07-30,milano,985.1
2025-07-31,milano,1059.2
2025-08-01,milano,1055.5
2025-08-02,milano,1298.1
2025-08-03,milano,1091.8
2025-08-04,milano,804.3
2025-08-05,milano,806.4
2025-08-06,milano,970.0
2025-08-07,milano,1103.9
2025-08-08,milano,1045.1
2025-08-09,milano,1291.4
2025-08-10,milano,1085.8
2025-08-11,milano,728.0
2025-08-12,milano,772.9
2025-08-13,milano,955.1
2025-08-14,milano,1101.9
2025-08-15,milano,1140.9
2025-08-16,milano,1208.9
2025-08-17,milano,1083.3
2025-08-18,milano,667.6
2025-08-19,milano,777.0
2025-08-20,milano,943.8
2025-08-21,milano,1043.2
2025-08-22,milano,1111.5
2025-08-23,milano,1267.8
2025-08-24,milano,1131.9
2025-08-25,milano,712.8
2025-08-26,milano,747.8
2025-08-27,milano,894.8
2025-08-28,milano,1122.6
2025-08-29,milano,1136.5
2025-08-30,milano,1254.7
2025-08-31,milano,1104.0
2025-09-01,milano,739.3
2025-09-02,milano,777.9
2025-09-03,milano,910.5
2025-09-04,milano,1052.7
2025-09-05,milano,1058.6
2025-09-06,milano,1238.0
2025-09-07,milano,1150.2
2025-09-08,milano,750.8
2025-09-09,milano,771.4
2025-09-10,milano,909.5
2025-09-11,milano,1066.0
2025-09-12,milano,1112.2
2025-09-13,milano,1239.9
2025-09-14,milano,1103.9
2025-09-15,milano,740.5
2025-09-16,milano,744.7
2025-09-17,milano,891.7
2025-09-18,milano,1033.5
2025-09-19,milano,1068.5
2025-09-20,milano,1294.2
2025-09-21,milano,1023.3
2025-09-22,milano,725.2
2025-09-23,milano,751.1
2025-09-24,milano,900.3
2025-09-25,milano,1073.7
2025-09-26,milano,1145.1
2025-09-27,milano,1273.5
2025-09-28,milano,1101.4
2025-09-29,milano,717.3
2025-09-30,milano,770.8
2025-10-01,milano,955.6
2025-10-02,milano,1063.8
2025-10-03,milano,1077.3
2025-10-04,milano,1237.6
2025-10-05,milano,1077.0
2025-10-06,milano,697.2
2025-10-07,milano,817.0
2025-10-08,milano,944.5
2025-10-09,milano,1077.2
2025-10-10,milano,1171.5
2025-10-11,milano,1267.5
2025-10-12,milano,1147.4
2025-10-13,milano,776.5
2025-10-14,milano,738.2
2025-10-15,milano,890.9
2025-10-16,milano,1064.8
2025-10-17,milano,1164.2
2025-10-18,milano,1343.6
2025-10-19,milano,1093.7
2025-10-20,milano,794.0
2025-10-21,milano,786.2
2025-10-22,milano,940.1
2025-10-23,milano,1089.4
2025-10-24,milano,1136.6
2025-10-25,milano,1255.5
2025-10-26,milano,1114.4
2025-10-27,milano,730.5
2025-10-28,milano,826.7
2025-10-29,milano,1034.5
2025-10-30,milano,1211.3
2025-10-31,milano,1150.8
2025-11-01,milano,1274.5
2025-11-02,milano,1149.1
2025-11-03,milano,753.4
2025-11-04,milano,889.4
2025-11-05,milano,999.6
2025-11-06,milano,1113.7
2025-11-07,milano,1208.9
2025-11-08,milano,1366.2
2025-11-09,milano,1126.0
2025-11-10,milano,781.7
2025-11-11,milano,831.9
2025-11-12,milano,998.0
2025-11-13,milano,1159.6
2025-11-14,milano,1185.2
2025-11-15,milano,1374.1
2025-11-16,milano,1178.6
2025-11-17,milano,786.2
2025-11-18,milano,906.4
2025-11-19,milano,1027.2
2025-11-20,milano,1188.8
2025-11-21,milano,1163.5
2025-11-22,milano,1383.1
2025-11-23,milano,1244.6
2025-11-24,milano,791.2
2025-11-25,milano,911.0
2025-11-26,milano,1022.0
2025-11-27,milano,1208.1
2025-11-28,milano,1232.4
2025-11-29,milano,1417.7
2025-11-30,milano,1278.4
2025-12-01,milano,839.5
2025-12-02,milano,945.9
2025-12-03,milano,1029.7
2025-12-04,milano,1185.9
2025-12-05,milano,1282.1
2025-12-06,milano,1398.7
2025-12-07,milano,1249.0
2025-12-08,milano,902.7
2025-12-09,milano,954.8
2025-12-10,milano,1018.7
2025-12-11,milano,1255.6
2025-12-12,milano,1343.4
2025-12-13,milano,1496.8
2025-12-14,milano,1276.4
2025-12-15,milano,874.2
2025-12-16,milano,926.7
2025-12-17,milano,1061.4
2025-12-18,milano,1253.7
2025-12-19,milano,1299.1
2025-12-20,milano,1477.5
2025-12-21,milano,1346.8
2025-12-22,milano,908.0
2025-12-23,milano,910.5
2025-12-24,milano,1156.6
2025-12-25,milano,1250.9
2025-12-26,milano,1314.6
2025-12-27,milano,1502.9
2025-12-28,milano,1320.8
2025-12-29,milano,904.6
2025-12-30,milano,972.3
2025-12-31,milano,1216.8
2026-01-01,milano,1290.2
2026-01-02,milano,1349.0
2026-01-03,milano,1569.4
2026-01-04,milano,1380.7
2026-01-05,milano,984.6
2026-01-06,milano,1031.1
2026-01-07,milano,1103.8
2026-01-08,milano,1305.8
2026-01-09,milano,1381.9
2026-01-10,milano,1574.0
2026-01-11,milano,1422.9
2026-01-12,milano,996.9
2026-01-13,milano,1017.1
2026-01-14,milano,1192.6
2026-01-15,milano,1351.0
2026-01-16,milano,1409.8
2026-01-17,milano,1604.6
2026-01-18,milano,1393.1
2026-01-19,milano,976.3
2026-01-20,milano,1018.5
2026-01-21,milano,1249.7
2026-01-22,milano,1423.2
2026-01-23,milano,1457.6
2026-01-24,milano,1634.9
2026-01-25,milano,1454.8
2026-01-26,milano,1023.8
2026-01-27,milano,1089.3
2026-01-28,milano,1201.0
2026-01-29,milano,1397.1
2026-01-30,milano,1423.7
2026-01-31,milano,1654.2
2026-02-01,milano,1430.8
2026-02-02,milano,1040.4
2026-02-03,milano,1100.8
2026-02-04,milano,1300.9
2025-01-01,torino,445.4
2025-01-02,torino,509.0
2025-01-03,torino,558.8
2025-01-04,torino,595.2
2025-01-05,torino,553.4
2025-01-06,torino,375.8
2025-01-07,torino,401.8
2025-01-08,torino,436.7
2025-01-09,torino,549.8
2025-01-10,torino,545.0
2025-01-11,torino,609.7
2025-01-12,torino,593.7
2025-01-13,torino,409.2
2025-01-14,torino,478.2
2025-01-15,torino,487.7
2025-01-16,torino,540.5
2025-01-17,torino,566.4
2025-01-18,torino,666.3
2025-01-19,torino,565.2
2025-01-20,torino,414.0
2025-01-21,torino,432.7
2025-01-22,torino,473.3
2025-01-23,torino,559.3
2025-01-24,torino,565.2
2025-01-25,torino,624.1
2025-01-26,torino,591.6
2025-01-27,torino,427.2
2025-01-28,torino,433.8
2025-01-29,torino,482.8
2025-01-30,torino,529.6
2025-01-31,torino,593.0
2025-02-01,torino,655.0
2025-02-02,torino,554.1
2025-02-03,torino,422.6
2025-02-04,torino,413.2
2025-02-05,torino,507.9
2025-02-06,torino,578.3
2025-02-07,torino,599.8
2025-02-08,torino,670.1
2025-02-09,torino,597.2
2025-02-10,torino,411.0
2025-02-11,torino,442.4
2025-02-12,torino,507.4
2025-02-13,torino,579.9
2025-02-14,torino,606.7
2025-02-15,torino,686.2
2025-02-16,torino,632.5
2025-02-17,torino,392.4
2025-02-18,torino,464.4
2025-02-19,torino,520.9
2025-02-20,torino,634.0
2025-02-21,torino,626.7
2025-02-22,torino,652.4
2025-02-23,torino,617.4
2025-02-24,torino,436.9
2025-02-25,torino,482.2
2025-02-26,torino,512.1
2025-02-27,torino,597.3
2025-02-28,torino,614.2
2025-03-01,torino,688.2
2025-03-02,torino,606.0
2025-03-03,torino,418.8
2025-03-04,torino,478.4
2025-03-05,torino,556.0
2025-03-06,torino,604.2
2025-03-07,torino,604.1
2025-03-08,torino,700.1
2025-03-09,torino,633.1
2025-03-10,torino,454.5
2025-03-11,torino,474.8
2025-03-12,torino,568.8
2025-03-13,torino,590.2
2025-03-14,torino,617.8
2025-03-15,torino,666.7
2025-03-16,torino,614.8
2025-03-17,torino,448.4
2025-03-18,torino,461.5
2025-03-19,torino,534.4
2025-03-20,torino,648.2
2025-03-21,torino,628.8
2025-03-22,torino,704.1
2025-03-23,torino,672.2
2025-03-24,torino,464.2
2025-03-25,torino,450.5
2025-03-26,torino,557.9
2025-03-27,torino,601.3
2025-03-28,torino,665.9
2025-03-29,torino,686.7
2025-03-30,torino,624.1
2025-03-31,torino,438.0
2025-04-01,torino,486.4
2025-04-02,torino,534.1
2025-04-03,torino,619.8
2025-04-04,torino,631.1
2025-04-05,torino,700.8
2025-04-06,torino,654.1
2025-04-07,torino,486.0
2025-04-08,torino,486.9
2025-04-09,torino,537.5
2025-04-10,torino,602.6
2025-04-11,torino,644.3
2025-04-12,torino,757.5
2025-04-13,torino,629.4
2025-04-14,torino,454.6
2025-04-15,torino,473.1
2025-04-16,torino,534.1
2025-04-17,torino,604.8
2025-04-18,torino,635.8
2025-04-19,torino,740.3
2025-04-20,torino,637.7
2025-04-21,torino,458.9
2025-04-22,torino,455.4
2025-04-23,torino,557.5
2025-04-24,torino,621.6
2025-04-25,torino,616.4
2025-04-26,torino,693.3
2025-04-27,torino,636.0
2025-04-28,torino,485.3
2025-04-29,torino,494.9
2025-04-30,torino,555.7
2025-05-01,torino,614.6
2025-05-02,torino,643.2
2025-05-03,torino,711.6
2025-05-04,torino,674.9
2025-05-05,torino,443.2
2025-05-06,torino,473.9
2025-05-07,torino,572.7
2025-05-08,torino,613.2
2025-05-09,torino,661.0
2025-05-10,torino,708.7
2025-05-11,torino,634.8
2025-05-12,torino,453.7
2025-05-13,torino,451.7
2025-05-14,torino,528.1
2025-05-15,torino,655.6
2025-05-16,torino,643.3
2025-05-17,torino,717.5
2025-05-18,torino,646.2
2025-05-19,torino,466.7
2025-05-20,torino,491.6
2025-05-21,torino,536.9
2025-05-22,torino,606.7
2025-05-23,torino,645.5
2025-05-24,torino,695.9
2025-05-25,torino,599.8
2025-05-26,torino,447.1
2025-05-27,torino,457.7
2025-05-28,torino,548.2
2025-05-29,torino,592.9
2025-05-30,torino,603.2
2025-05-31,torino,691.8
2025-06-01,torino,648.0
2025-06-02,torino,444.8
2025-06-03,torino,465.1
2025-06-04,torino,531.7
2025-06-05,torino,606.3
2025-06-06,torino,634.5
2025-06-07,torino,718.5
2025-06-08,torino,583.8
2025-06-09,torino,464.6
2025-06-10,torino,456.0
2025-06-11,torino,519.7
2025-06-12,torino,639.3
2025-06-13,torino,608.6
2025-06-14,torino,723.1
2025-06-15,torino,626.0
2025-06-16,torino,414.2
2025-06-17,torino,458.6
2025-06-18,torino,532.8
2025-06-19,torino,586.7
2025-06-20,torino,562.8
2025-06-21,torino,675.1
2025-06-22,torino,598.5
2025-06-23,torino,406.0
2025-06-24,torino,476.4
2025-06-25,torino,508.3
2025-06-26,torino,575.5
2025-06-27,torino,593.8
2025-06-28,torino,661.0
2025-06-29,torino,581.4
2025-06-30,torino,421.1
2025-07-01,torino,441.7
2025-07-02,torino,496.8
2025-07-03,torino,574.7
2025-07-04,torino,567.4
2025-07-05,torino,678.9
2025-07-06,torino,575.6
2025-07-07,torino,416.4
2025-07-08,torino,412.3
2025-07-09,torino,490.0
2025-07-10,torino,573.9
2025-07-11,torino,564.4
2025-07-12,torino,708.7
2025-07-13,torino,582.4
2025-07-14,torino,404.2
2025-07-15,torino,408.7
2025-07-16,torino,522.2
2025-07-17,torino,589.1
2025-07-18,torino,586.0
2025-07-19,torino,632.2
2025-07-20,torino,567.6
2025-07-21,torino,410.1
2025-07-22,torino,406.2
2025-07-23,torino,464.8
2025-07-24,torino,535.7
2025-07-25,torino,560.3
2025-07-26,torino,652.0
2025-07-27,torino,559.1
2025-07-28,torino,392.7
2025-07-29,torino,460.7
2025-07-30,torino,513.2
2025-07-31,torino,532.8
2025-08-01,torino,575.3
2025-08-02,torino,648.2
2025-08-03,torino,563.1
2025-08-04,torino,405.6
2025-08-05,torino,397.4
2025-08-06,torino,469.1
2025-08-07,torino,539.8
2025-08-08,torino,562.1
2025-08-09,torino,665.5
2025-08-10,torino,575.0
2025-08-11,torino,356.3
2025-08-12,torino,390.1
2025-08-13,torino,455.5
2025-08-14,torino,557.2
2025-08-15,torino,563.6
2025-08-16,torino,654.1
2025-08-17,torino,555.3
2025-08-18,torino,341.1
2025-08-19,torino,401.9
2025-08-20,torino,470.1
2025-08-21,torino,547.6
2025-08-22,torino,531.8
2025-08-23,torino,635.9
2025-08-24,torino,540.3
2025-08-25,torino,359.5
2025-08-26,torino,396.2
2025-08-27,torino,468.8
2025-08-28,torino,518.6
2025-08-29,torino,521.2
2025-08-30,torino,586.3
2025-08-31,torino,539.6
2025-09-01,torino,389.6
2025-09-02,torino,385.6
2025-09-03,torino,418.2
2025-09-04,torino,516.9
2025-09-05,torino,558.4
2025-09-06,torino,660.8
2025-09-07,torino,569.8
2025-09-08,torino,373.3
2025-09-09,torino,388.1
2025-09-10,torino,438.4
2025-09-11,torino,523.0
2025-09-12,torino,543.2
2025-09-13,torino,615.0
2025-09-14,torino,548.5
2025-09-15,torino,357.9
2025-09-16,torino,389.4
2025-09-17,torino,483.4
2025-09-18,torino,544.5
2025-09-19,torino,556.8
2025-09-20,torino,624.9
2025-09-21,torino,519.4
2025-09-22,torino,362.6
2025-09-23,torino,393.0
2025-09-24,torino,438.6
2025-09-25,torino,554.4
2025-09-26,torino,543.7
2025-09-27,torino,637.3
2025-09-28,torino,542.3
2025-09-29,torino,342.1
2025-09-30,torino,421.8
2025-10-01,torino,436.9
2025-10-02,torino,549.8
2025-10-03,torino,541.3
2025-10-04,torino,637.7
2025-10-05,torino,535.5
2025-10-06,torino,359.1
2025-10-07,torino,402.4
2025-10-08,torino,496.2
2025-10-09,torino,519.8
2025-10-10,torino,554.5
2025-10-11,torino,653.2
2025-10-12,torino,541.8
2025-10-13,torino,382.4
2025-10-14,torino,373.8
2025-10-15,torino,474.7
2025-10-16,torino,547.0
2025-10-17,torino,580.3
2025-10-18,torino,646.6
2025-10-19,torino,535.4
2025-10-20,torino,385.1
2025-10-21,torino,371.7
2025-10-22,torino,481.5
2025-10-23,torino,571.3
2025-10-24,torino,573.7
2025-10-25,torino,634.9
2025-10-26,torino,584.3
2025-10-27,torino,380.5
2025-10-28,torino,373.8
2025-10-29,torino,466.3
2025-10-30,torino,575.1
2025-10-31,torino,562.9
2025-11-01,torino,653.4
2025-11-02,torino,562.0
2025-11-03,torino,351.8
2025-11-04,torino,393.0
2025-11-05,torino,485.4
2025-11-06,torino,559.2
2025-11-07,torino,571.8
2025-11-08,torino,618.8
2025-11-09,torino,597.6
2025-11-10,torino,402.4
2025-11-11,torino,427.7
2025-11-12,torino,509.6
2025-11-13,torino,554.4
2025-11-14,torino,571.3
2025-11-15,torino,671.6
2025-11-16,torino,613.5
2025-11-17,torino,365.3
2025-11-18,torino,411.9
2025-11-19,torino,480.1
2025-11-20,torino,580.8
2025-11-21,torino,617.5
2025-11-22,torino,668.9
2025-11-23,torino,568.2
2025-11-24,torino,405.0
2025-11-25,torino,418.8
2025-11-26,torino,473.2
2025-11-27,torino,595.5
2025-11-28,torino,589.7
2025-11-29,torino,696.1
2025-11-30,torino,575.8
2025-12-01,torino,432.7
2025-12-02,torino,406.1
2025-12-03,torino,529.9
2025-12-04,torino,555.1
2025-12-05,torino,634.1
2025-12-06,torino,686.3
2025-12-07,torino,580.9
2025-12-08,torino,417.1
2025-12-09,torino,447.9
2025-12-10,torino,501.6
2025-12-11,torino,589.0
2025-12-12,torino,623.4
2025-12-13,torino,700.2
2025-12-14,torino,563.0
2025-12-15,torino,422.9
2025-12-16,torino,459.1
2025-12-17,torino,535.1
2025-12-18,torino,626.7
2025-12-19,torino,615.9
2025-12-20,torino,760.8
2025-12-21,torino,644.3
2025-12-22,torino,446.2
2025-12-23,torino,480.9
2025-12-24,torino,557.2
2025-12-25,torino,620.3
2025-12-26,torino,627.6
2025-12-27,torino,743.3
2025-12-28,torino,647.8
2025-12-29,torino,415.5
2025-12-30,torino,450.5
2025-12-31,torino,558.4
2026-01-01,torino,630.8
2026-01-02,torino,654.6
2026-01-03,torino,747.0
2026-01-04,torino,653.2
2026-01-05,torino,489.3
2026-01-06,torino,469.9
2026-01-07,torino,552.6
2026-01-08,torino,645.2
2026-01-09,torino,673.7
2026-01-10,torino,760.4
2026-01-11,torino,688.3
2026-01-12,torino,461.2
2026-01-13,torino,512.1
2026-01-14,torino,578.6
2026-01-15,torino,630.3
2026-01-16,torino,667.7
2026-01-17,torino,794.8
2026-01-18,torino,685.6
2026-01-19,torino,470.9
2026-01-20,torino,456.1
2026-01-21,torino,566.3
2026-01-22,torino,646.6
2026-01-23,torino,681.8
2026-01-24,torino,809.3
2026-01-25,torino,694.9
2026-01-26,torino,494.6
2026-01-27,torino,492.3
2026-01-28,torino,567.5
2026-01-29,torino,665.4
2026-01-30,torino,681.4
2026-01-31,torino,832.0
2026-02-01,torino,683.3
2026-02-02,torino,486.4
2026-02-03,torino,539.2
2026-02-04,torino,599.8
